Category,Task Title,Task Description
Medical,"List all of your health conditions: a. Guide to conversation with Doctor, b. Create a list of all doctors and care providers, c. List of procedures and surgeries completed",
Medical,Create a list of all prescribed and over the counter medications and any supplements including the amount taken,
Medical,Create an emergency plan in case of an evacuation for medications and other needs,
Medical,Create a plan for medication refill or delivery for current prescriptions,
Medical,Create an Advanced Healthcare directive,
Medical,Complete Hippa release form for care taker,
Medical,Complete a Do Not Resuscitate/Do not Intubate Order if that is your wishes,
Medical,Identify doctors for common health needs (two doctors per category),
Mental / Dementia,Educate yourself/family on identifiers of early Dementia,
Mental / Dementia,Identify a guardian to help with decision making process,
Mental / Dementia,Create a daily living plan,
Mental / Dementia,Have a home safety check,
Mental / Dementia,Look into tacking technologies,
Mental / Dementia,Review your medications to see if they impact memory,
Mental / Dementia,Create a plan to support yourself or loved one with dementia,
Wellness,Build a diet optimized for you lifestyle,
Wellness,Have you built a personalized activity plan,
Wellness,Complete a sleep assessment,
Wellness,"Create a personal care plan (Hair, Nails, Skin, etc)",
Financial,Identify sources of income and expenses/dept and create budget,
Financial,"List your accounts and any safety deposit boxes (investments, banks, etc",
Financial,Keep your last tax return in accessible location,
Financial,Identify a trusted individual to be a co-signer for your accounts,
Financial,Ensure care team are able to perform and support effectively,
Financial,Create a plan for the needs of a disabled child,
Financial,Identify a tax specialist who specialized in seniors,
Financial,Monitor your accounts for credit history and fraud,
Financial,Identify and review commonly used resources to help with senior living costs,
Insurance,Review various Insurance policies that are important to your financial plan,
Insurance,List your current policies and coverage details,
Benefit Programs,Review health care policies to ensure coverage and minimize costs,
Benefit Programs,Complete a Medicare Detailed Plan with a trusted advisor,
Benefit Programs,For more personal care look into primary care physician’s concierge/retainer services,
Benefit Programs,If you are a veteran or caring for a veteran look into Veteran benefits (Jamie to expand),
Benefit Programs,"Gov Benefits – Fed/State/City – employment, advocate groups",
Leaving a Legacy,"Create a social will for your social media, email and websites",
