Is Complete?,Name,Email,Company Name,Provider Type,Category,Hero Image,Hero File Name,Membership Tier,Logo Image,Logo File Name,Street,City,State,Zip,Phone,Website,Description,Lat,Lng,National
yes,,invalid@dovelewis.org,Dove Lewis Emergency Animal Hospital ,Animal Care,- Aging In Place,,aginginplace.jpeg,,,,1945 NW Pettygrove St. ,Portland,OR,97209,503-228-7281,https://www.dovelewis.org/,"Dove Lewis is more than an emergency hospital. It is a hub for specialized care, a nonprofit haven for animals in need, and member of Oregon's community. ",45.5330224,-122.6912728,
yes,,invalid@pearlanimalhospital.com,Pearl Animal Pet Hospital,Animal Care,- Aging In Place,,aginginplace.jpeg,,,,1250 NW 10th Ave,Portland,OR,97209,(503) 954-3393,http://pearlanimalhospital.com/,"We are a full-service veterinary clinic for cats and dogs located in the Pearl District in NW Portland, OR.",45.5321476,-122.6813263,
yes,,invalid@portlandanimalclinic.com,Portland Animal Clinic,Animal Care,- Aging In Place,,aginginplace.jpeg,,,,1755 SW Madison St,Portland,OR,97205,503.228.5256,https://portlandanimalclinic.com/,"We’ve been keeping pets healthy – and owners informed – in Portland’s Goose Hollow neighborhood for over 65 years.
 
We offer veterinary services for cats and dogs, as well as boarding and grooming for your fur-bearing family members. Our strong focus on preventive care can help your beloved pets lead longer, happier lives.",45.5187499,-122.6920034,
yes,,invalid@mollymaid.com,Molly Maid,Cleaning Services,- Aging In Place,,aginginplace.jpeg,,,,6645 NE 78th Ct c1,Portland,OR,97218,866-635-6945,https://ppc.mollymaid.com,"Whether you live in a large home or a modest apartment, whether you live alone or with five messy children, whether you need weekly cleaning or a single deep clean - Molly Maid has a flexible cleaning plan for your busy schedule and specific house cleaning needs",45.57018,-122.58192,
yes,,invalid@merrymaids.com,Merry Maids of West Portland,Cleaning Services,- Aging In Place,,aginginplace.jpeg,,,,5775 South Jean Rd Suite #106,Lake Oswego,OR,97035,(503) 506-4406,www.merrymaids.com,"Merry Maids is so much more than just a home cleaning service. We are a company dedicated to giving our customers back the time they deserve to enjoy the things they love. We put The Extra In Your Ordinary, restoring balance to your life by taking care of your home. Life flies by in the blink of an eye, so it’s crucial to stop and enjoy it. With Merry Maids, you can do just that.

Our house cleaning services cover every inch of your space. We can freshen up your bathroom, invigorate your kitchen, and restore your bedroom to ensure you have the beautiful and clean home you deserve. We’ll get deep into the corners and crevices to rid your space of any dust, germs, and bacteria to deliver a home that is both spotless and healthy.",45.39801,-122.73605,
yes,,PortlandSparklingHomes@gmail.com,Sparkling Homes,Cleaning Services,- Aging In Place,,aginginplace.jpeg,,,,715 NW Hoyt St # 5482,Portland,OR,97228,503-998-6653,https://www.portlandsparklinghomes.com/,"Sparkling Homes serves the greater Portland Metro area, this includes Boring, Fairview, Troutdale, Gresham, Tigard, Milwaukie, Beaverton, and all of Portland. Sparkling Homes is Licensed, bonded, and insured for your peace of mind. 

We provide house cleaning, apartment cleaning, condo cleaning, move out/in cleaning, one time cleaning and office cleaning. Sparkling Homes is dedicated to ensure each of our client’s needs are met. Our commitment to quality is second to none. Sparkling Homes house cleaning is reliable, thorough, detail orientated, honest, friendly, punctual, and here to help you!  

We want our clients to be happy with the cleaning service we perform here in the Portland Metro area, and we warmly welcome opinions and comments to help us increase customer satisfaction. ",45.52865,-122.6786,
yes,,help@instacart.com,InstaCart,Grocery Delivery,- Aging In Place,,aginginplace.jpeg,,,,50 Beale Suite 600,San Francisco,CA,94107,1-888-246-7822,www.instacart.com,"Groceries delivered in as little as 1 hour from Fred Meyer, New Seasons, Safeway, Costco, Petco, etc.",37.7912,-122.39608,
yes,,invalid@fredmeyer.com,Fred Meyer,Grocery Delivery,- Aging In Place,,aginginplace.jpeg,,,,3800 SE 22nd Ave,Portland,OR,97202,1‒800‒576‒4377.,https://www.fredmeyer.com/i/ways-to-shop/delivery,"We have grocery delivery to your door at a time you choose. Only $9.95. Order groceries online, select your delivery time slot, and check out using your credit or debit card. You’ll receive an alert when your order is on its way. Use your Shopper’s Card to earn fuel points on every purchase.",45.49486,-122.64212,
yes,,invalid@amazon.com,Amazon Fresh,Grocery Delivery,- Aging In Place,,aginginplace.jpeg,,,,"1200 12th Avenue South, Suite 1200",Seattle,WA,98144,1-206-266-1000,https://www.amazon.com/alm/storefront?almBrandId=VUZHIFdob2xlIEZvb2Rz&ref_=nav_cs_whole_foods_in_region,Amazon Fresh will delivery fresh groceries to your door.  Select a 2hr delivery window and have your groceries delivered free of charger for orders over $35.,45.49486,-122.64212,
yes,,invalid@designdoctorsconstruction.com,Design Doctors,Home Construction Services,- Aging In Place,,aginginplace.jpeg,,,,3110 NE Minnehaha St. Suite G,Vancouver,WA,98663,360-735-7336,https://www.designdoctorsconstruction.com/aging-in-place,"Established in 2008 and proudly Veteran owned, we have provided top quality remodeling services to the Portland Metro area.  We understand the value of building our business relationships and first class customer service has been our focus from the very beginning.

From initial consultation until completion, our excellent communication and management skills will ensure the success of your project.  Our team will take the time to listen to your desires and needs so that we can provide you with the best service possible.  We invest in our team of professionals with continuing education and ongoing training so you can be confident that you are working with true professionals.",45.6681228,-122.638529,
yes,,invalid@fazzhomes.com,Fazzolari Custom Homes,Home Construction Services,- Aging In Place,,aginginplace.jpeg,,,,13211 NW 33rd Ave,Vancouver,WA,98685,360-571-7027.,http://blog.fazzhomes.com/aging-in-place/,"In honor of Fazzolari Custom Homes and Renovations receiving our Certified Aging in Place Specialist (CAPS) designation from the National Home Builders Association, we’ve written a series of articles about aging in place and its potential impact on where you live and how you live there. Our hope is you will learn more about the issues surrounding this important topic and will become familiar with some of the choices you can make when you decide home is the place where you want to spend your “golden years.”",45.49486,-122.64212,
yes,,invalid@cornerstrone.org,Cornerstone Builders,Home Construction Services,- Aging In Place,,aginginplace.jpeg,,,,"7721 SW Cirrus Dr, Spc 30-C",Beaverton ,OR,97008,(503)498-8618,https://cornerstonebuilders.org/aging-in-place/,"Universal Design is related to aging-in-place remodeling and a Certified Aging-in-Place Specialist (CAPS) can help you remodel your home using universal design concepts. The NAHB Remodelers in collaboration with the NAHB Research Center, NAHB 50+ Housing  Council, and AARP developed the CAPS program to address the growing number of consumers that will soon  require these modifications. While most CAPS professionals are  remodelers, an increasing number are general contractors, designers,  architects, and health care consultants",45.4635533,-122.7896443,
yes,,info@securityfirstalarm.com,Security First Alarm,Home Construction Services,- Aging In Place,,aginginplace.jpeg,,,,515 NW Saltzman # 825 ,Portland,OR,97229,503-296-9100,http://securityfirstalarm.com/,"If you’re looking for superior service at reasonable prices, look no further than Security First Alarm. We offer every product you need to add security and protection to your home or business. Let us demonstrate how we can help you protect your home or commercial space with quality security and fire alarm systems that have been trusted for over 20 years.",45.524136,-122.8069201,
yes,,invalid@falcolnelectric.com,Falcoln Electric,Home Construction Services,- Aging In Place,,aginginplace.jpeg,,,,10180 SW Park Way,Portland,OR,97225,503.208.4709,https://callfalcon.com/,"When it comes to Portland electrical contractors, accept only the best. Falcon Electric puts a premium on providing consistent quality and true customer service. We offer a wide range of professional residential and commercial electrical services for our valued clients. Our extensive experience, consistent quality, unmatched customer service and local focus make us a leader as a local Portland electrical contractor. 

We have built our reputation by treating our customers like family. That’s our difference. If you’re looking for timely and reliable residential and commercial electrical service from a contractor who really cares and takes pride in their work, with Falcon Electric, that’s precisely what you’ll get.",45.5074203,-122.7822751,
yes,,customerservice@linkinteractive.com,Link Interactive,Home Construction Services,- Aging In Place,,aginginplace.jpeg,,,,4155 Harrison Blvd,Ogden,UT,84403, 1-866-876-6586,https://www.linkinteractive.com/,Link Home Security is a Mountain Alarm company and has been in business since 1952. We're 5-Star rated with Alarm.com--the highest rating possible! Our 5-Diamond-rated central station has redundant locations so you'll never be without service. Our 2Gig (cellular) and Z-Wave products are the highest quality on the market. Everything we sell is backed by a 30-day money back guarantee. Our customer support is unparalleled in the industry!,45.49486,-122.64212,
yes,,invalid@rightathome.com,Right At Home,In Home Care Services,- Aging In Place,,aginginplace.jpeg,,,,10373 NE Hancock St. Suite 126,Portland,OR,97220,(503) 764-9836,www.rightathome.net,"For many people, our in-home senior care and nursing services are the best solution for maintaining a healthy lifestyle and loving relationships. Welcome to Right at Home in Portland. Our licensed agency provides in home care services for families in Portland, Beaverton, and the entire Tri-county area. As a person begins to age, family members often feel the need to help with everyday tasks their loved one now finds challenging.",45.5365657,-122.5558864,
yes,,invalid@synergy.com,Synergy,In Home Care Services,- Aging In Place,,aginginplace.jpeg,,,,4317 NE Thurston Way Suite 230,Vancouver,WA,98662,360-891-1506,www.synergyhomecare.com,"Synergy HomeCare of Vancouver, WA is proud to place certified caregivers, non-medical caregivers, and personal care as helpers for people of any age who live with cognitive or physical limitations, such as Alzheimer disease, dementia, or Parkinson's. Our caregivers are the experts in temporary and long-term home care services in Southern Washington, including Clark and Cowlitz counties. We would like to help you with your family's in-home Health Care and Elder Care needs.",45.6541744,-122.586263,
