Category,Provider Type,Task Title,Task Description,File
- Medical,Primary Care Physician (groups) - Medical,List all of your health conditions,"At every new doctor visit they ask about prior health conditions, current health conditions and prior surgeries.  If these are not known it can create negavtive outcomes with perscriptions, surgeries and more.  ",
- Medical,Primary Care Physician (groups) - Medical,Create a list of all prescribed and over the counter medications and any supplements including the amount taken,"Medications are becoming a part of every older adults life, however it is key to know what medications you are taking and kee track of those in case they are in position they arent able to share those details or they are getting a new perscription and checking to see if they can be taken together.",
- Medical,Drugs - Medical,Create an emergency plan in case of an evacuation for medications and other needs,"A lot of older adults are reliant on medications, medical equipment, and other critical pieces that are in their homes. If an extreme weather event or some other type of emergency occurs its critical to have a plan were these can be accessed with in small window of time.",
- Medical,Drugs - Medical,Create a plan for medication refill or delivery for current prescriptions,Ofter older adults will have a challenge in getting to a pharmacy or keeping track of the amount of medication they have left.  Having a refill service and/or delivery service can minimize that risk. ,
- Medical,Eldercare Lawyer - Legal,Create an Advanced Healthcare directive,"An advance healthcare directive, also known as living will, personal directive, advance directive, medical directive or advance decision, is a legal document in which a person specifies what actions should be taken for their health if they are no longer able to make decisions for themselves because of illness or incapacity. In the U.S. it has a legal status in itself, whereas in some countries it is legally persuasive without being a legal document.",
- Medical,Eldercare Lawyer - Legal,Complete Hippa release form for care taker,The Health Insurance Portability and Accountability Act of 1996 was put in place to help ensure the privacy and ease of access of your medical records. A HIPAA authorization form is a document in that allows an appointed person or party to share specific health information with another person or group.,
- Medical,Eldercare Lawyer - Legal,Consider if a Do Not Resuscitate/Do not Intubate Order is consistent with your wishes,"A do-not-resuscitate (DNR) order can also be part of an advance directive. Hospital staff try to help any patient whose heart has stopped or who has stopped breathing. They do this with cardiopulmonary resuscitation (CPR). A DNR is a request not to have CPR if your heart stops or if you stop breathing. You can use an advance directive form or tell your doctor that you don’t want to be resuscitated. Your doctor will put the DNR order in your medical chart. Doctors and hospitals in all states accept DNR orders. They do not have to be part of a living will or other advance directive. 

Other possible end-of-life issues that may be covered in an advance directive include:

Ventilation – if, and for how long, you want a machine to take over your breathing.
Tube feeding – if, and for how long, you want to be fed through a tube in your stomach or through an IV.
Palliative care (comfort care) – keeps you comfortable and manages pain. This could include receiving pain medicine or dying at home.
Organ donation – specifying if you want to donate your organs, tissues, or body for other patients or for research.",
- Medical,Primary Care Physician (groups) - Medical,Identify doctors for common health needs (two doctors per category),Its often people will find themselves making quick decisions on which medical specialist to use to solve an emergency situation.   By doing the research ahead of time to find a medical specialist you can reduce the stress and concern you are making the right choice with the provider you are using. ,
- Mental / Dementia,Neurologist - Mental / Dementia,Educate yourself/family on identifiers of early Dementia,An early diagnosis opens the door to future care and treatment. It helps people to plan ahead while they are still able to make important decisions on their care and support needs and on financial and legal matters.,
- Mental / Dementia,Family Practice Attorney - Legal,Identify a guardian to help with decision making process,"Caregivers for people with Alzheimer’s disease often reach a point when they realize their loved one is unable to make rational or informed decisions. If their parent is cooperative and easy going, this incapacity may not be a problem. But if it’s coupled with a tendency to stubbornly refuse assistance or care, it can be dangerous. This is when guardianship can be an important tool for families. Guardianship also can be required when a person with Alzheimer’s or dementia is no longer able to legally sign power of attorney documents due to mental incapacitation.",
- Mental / Dementia,LCSW - Mental / Dementia,Create a daily living plan,"A person with Alzheimer's or other progressive dementia will eventually need a caregiver's assistance to organize the day. Structured and pleasant activities can often reduce agitation and improve mood. Planning activities for a person with dementia works best when you continually explore, experiment and adjust.",
- Mental / Dementia,Home Safety Assessment - Aging In Place,Have a home safety check,"Among the chief concerns for aging Americans is ensuring that they or their loved ones have somewhere safe to live. Most people prefer to age in their own homes and communities, but many are not prepared.  An AARP survey showed that about 85 percent of people want to age in place and 90 percent have done nothing to get ready.  Key to aging in place is preventing falls, the most common cause of injury among the elderly.  ",
- Mental / Dementia,Technology - Mental / Dementia,Look into tracking technologies,"People with dementia should have access to location finding devices – like GPS trackers – so that family carers and the police can locate the person in an emergency if they get lost, according to a new study by the University of Southampton.
Of the people with dementia who live in their own homes, more than 40 per cent will get lost at some point, and a large amount of those will get lost repeatedly, doubling their risk of admission to long-term care.  Sadly half of all those who go missing repeatedly for more than 24 hours die or are seriously injured.  Researchers believe that introducing devices at a time when a person with dementia is able to appreciate the benefits and consequences of carrying the device, and at a time that will allow them to get used to using the device so it becomes a habit, could save lives.",
